text,label,line
"Stress-related mucosal damage: review of drug therapy. The increased awareness of stress-related mucosal damage (SRMD) that accompanied the widespread use of fiberoptic endoscopy and the increased incidence of SRMD that accompanied the advances in caring for critically ill patients resulted in the recognition that the majority of patients in the intensive care unit (ICU) setting wil develop mucosal damage. Complications of gastrointestinal hemorrhage in these patients may contribute significantly to their morbidity and mortality, and the consequences of this bleeding may be more severe than the underlying predisposing conditions. Because of the importance of gastric acid in the pathogenesis of SRMD, therapy has focused on reduction of the intraluminal acid concentration. Acid neutralization, while effective, is laborious and associated with side effects. H2-receptor antagonists have been used successfully in the prophylaxis and treatment of SRMD and offer the potential for an effective parenteral as well as oral agent. They obviate the need for frequent antacid administration and eliminate some of the troubles and side effects that accompany an intensive antacid regimen. Of the available H2-receptor antagonists, cimetidine has been the most thoroughly evaluated. It is equivalent to antacids in the prevention of overt bleeding and offers the advantage of dosing flexibility, ease of administration, and a remarkable safety profile. Cimetidine has also been shown to be effective when administered by intermittent bolus infusions given every 8, 6, or 4 h or by primed continuous infusion, which has proven to be the most successful method of controlling intragastric pH. ",5,11
"A biphasic pattern of anti-pre-S responses in acute hepatitis B virus infection. The clinical relevance of the immune response to the translation products of the pre-S1 and pre-S2 regions of hepatitis B virus was examined by testing sequential serum samples from 17 patients with acute self-limited hepatitis B and from two patients in whom chronic liver disease developed. Anti-pre-S antibodies were determined by enzyme immunoassays based on the inhibition of binding of monoclonal antibodies to epitopes in the pre-S1 and pre-S2 sequence. In acute, self-limited infection, anti-pre-S antibodies appeared in a biphasic pattern. The early antibodies were detected at the time of clinical signs of acute disease when HBsAg and often HBeAg were present, but hepatitis B virus DNA was no longer detectable in serum. Anti-pre-S levels then fell, but subsequently reappeared as the late antibody during the recovery phase, after development of anti-HBe, but before anti-HBs. Anti-pre-S responses were detected in 15 of 17 patients who recovered (88.2%) and in both patients with acute hepatitis B virus infection evolving to chronic liver disease. Although the early antibodies to pre-S1 and pre-S2 proteins appeared at the time of decreasing levels of infectious virus in serum in cases of self-limited infection, these antibodies also were transiently or continuously present with high levels of serum hepatitis B virus DNA in patients in whom chronic hepatitis B infection developed. Thus the anti-pre-S response in acute hepatitis is not a prognostic marker for clinical resolution. ",2,12
"A controlled trial comparing vidarabine with acyclovir in neonatal herpes simplex virus infection. Infectious Diseases Collaborative Antiviral Study Group. BACKGROUND. Despite the use of vidarabine, herpes simplex virus (HSV) infection in neonates continues to be a disease of high morbidity and mortality. We undertook a controlled trial comparing vidarabine with acyclovir for the treatment of neonatal HSV infection. METHODS. Babies less than one month of age with virologically confirmed HSV infection were randomly and blindly assigned to receive either intravenous vidarabine (30 mg per kilogram of body weight per day; n = 95) or acyclovir (30 mg per kilogram per day; n = 107) for 10 days. Actuarial rates of mortality and morbidity among the survivors after one year were compared overall and according to the extent of the disease at entry into the study (infection confined to the skin, eyes, or mouth; encephalitis; or disseminated disease). RESULTS. After adjustment for differences between groups in the extent of disease, there was no difference between vidarabine and acyclovir in either morbidity (P = 0.83) or mortality (P = 0.27). None of the 85 babies with disease confined to the skin, eyes, or mouth died. Of the 31 babies in this group who were treated with vidarabine and followed for a year, 88 percent (22 of 25) were judged to be developing normally after one year, as compared with 98 percent (45 of 46) of the 54 treated with acyclovir (95 percent confidence interval for the difference, -4 to 24). For the 71 babies with encephalitis, mortality was 14 percent with vidarabine (5 of 36) and with acyclovir (5 of 35); of the survivors, 43 percent (13 of 30) and 29 percent (8 of 28), respectively, were developing normally after one year (95 percent confidence interval for the difference, -11 to 39). For the 46 babies with disseminated disease, mortality was 50 percent (14 of 28) with vidarabine and 61 percent (11 of 18) with acyclovir (95 percent confidence interval for the difference, -20 to 40); of the survivors, 58 percent (7 of 12) and 60 percent (3 of 5), respectively, were judged to be developing normally after one year (95 percent confidence interval for the difference, -40 to 50). Both medications were without serious toxic effects. CONCLUSIONS. In this multicenter, randomized, blinded study there were no differences in outcome between vidarabine and acyclovir in the treatment of neonatal HSV infection. The study lacked statistical power to determine whether there were sizable differences within the subgroups of those with localized HSV, encephalitis, or disseminated disease. ",5,13
"Pentostatin induces durable remissions in hairy cell leukemia. Fifty patients with hairy cell leukemia were treated with pentostatin (2'-deoxycoformycin; dCF) for a median of 3 months; 32 (64%) patients achieved complete remission (CR), and 10 (20%) patients achieved partial remission (PR), for an overall response rate of 84%. After reaching maximal response, no maintenance therapy was administered. The median duration of follow-up is now 39 months, and only four of 32 patients in CR and two of 10 patients in PR have relapsed. dCF therapy produces durable long-term, disease-free survival in patients with hairy cell leukemia. ",5,14
"Cytologic features of poorly differentiated 'insular' carcinoma of the thyroid, as revealed by fine-needle aspiration biopsy. The authors report on the cytologic features of six cases of poorly differentiated ""insular"" carcinoma (IC) of the thyroid, a recently described variety of thyroid tumor intermediate between well-differentiated and anaplastic neoplasms. It is characterized by trabecular and/or alveolar growth patterns, merging with follicular areas, and by the absence of pleomorphism in the tumor cells. Fine-needle aspiration biopsy (FNAB) materials (both smears and cell-block preparations) from six patients were reviewed after the diagnosis of IC was confirmed on the surgical specimen. The following cytologic features were consistently found: high cellularity and necrotic background; low grade of atypia; trabeculae and/or clusters, possibly associated with microfollicles, of cells with poorly defined cytoplasm; and cytoplasmic vacuoles containing thyroglobulin. Nuclear inclusions and grooving of the nuclear surface were additional features. Preoperative diagnosis suggestive of IC might be of value for planning surgical treatment and subsequent therapy. ",5,15
"Cutaneous manifestations of multiple myeloma. We report the cutaneous manifestations of multiple myeloma, using a retrospective review of 115 patients' records obtained from tumor registry files. Five patients were found to have biopsy-proved extramedullary plasmacytomas without extension from an underlying bony focus. Twelve patients had ecchymoses without thrombocytopenia; two of them had biopsy-proved amyloidosis. One patient presented with pyoderma gangrenosum and was subsequently diagnosed with multiple myeloma. The last patient initially presented with what clinically appeared to be leukocytoclastic vasculitis, and, in the course of a standard workup, he was diagnosed with multiple myeloma. These findings are discussed with regard to the current literature on the cutaneous manifestations of multiple myeloma. ",1,16
"Steal-prone coronary anatomy and myocardial ischemia associated with four primary anesthetic agents in humans. To examine the relationship between myocardial ischemia in patients with steal-prone coronary anatomy and the administration of isoflurane anesthesia, we reviewed coronary angiograms of 955 patients who had participated in a randomized trial of the use of one of four primary anesthetics for coronary artery bypass operations. Steal-prone anatomy was found in 31.8% of patients who had received enflurane; 40.0%, halothane; 32.6%, isoflurane; and 31.7%, sufentanil. Detected by greater than or equal to 0.1 mV ST segment displacement, ischemia during anesthesia occurred in 290 (30.4%) of all patients with no difference in the incidence among the four primary anesthetics (27.5%-32.9%). Patients with steal-prone anatomy did not suffer more ischemia than patients who needed coronary artery bypass surgery but with other varieties of coronary anatomy. In patients with steal-prone coronary anatomy, the incidence of myocardial ischemia by primary anesthetic was 24.0% with enflurane, 34.4% with halothane, 32.1% with isoflurane, and 38.2% with sufentanil. Systolic blood pressure less than 90 mm Hg during anesthesia occurred in 416 (45.6%) patients and was twice as common during administration of volatile anesthetics than during that of sufentanil. Hypotension did not increase ischemia frequency in patients with steal-prone anatomy with use of any of the four primary anesthetics including isoflurane. Ischemia was temporally related to hypotension in only 9 patients (0.9%). In none of the 42 patients who had steal-prone anatomy and hypotension during isoflurane anesthesia was ischemia temporally related to hypotension. ",5,17
"Ewing's sarcoma. Radiotherapy versus surgery for local control. Significant strides in the treatment of Ewing's sarcoma, the second most common bone tumor of childhood, have resulted in cure for approximately 50% of patients. Successful therapy requires systemic chemotherapy for the eradication of microscopic or overt metastatic disease and surgery or irradiation therapy for control of the primary lesion. The article debates the controversy over the extent to which surgical resection should play a role in the local management of this disease. ",1,18
Tethered cord syndrome from a choristoma of mullerian origin. Case report. The authors report a case of tethered cord syndrome due to a choristoma of mullerian origin located in the spinal cord at the lumbosacral junction. Two similar cases were found upon review of the literature. The embryology of this lesion is discussed. ,3,19
"Immunohistochemical detection of P-glycoprotein in endometrial adenocarcinoma. P-glycoprotein (Pgp) has emerged as the central mediator in classic multidrug resistance in model systems in vitro. High levels of Pgp also have been detected in many normal human tissues and tumors; and its role in clinical drug resistance is currently under investigation. Recently significant levels of Pgp were localized to gravid and secretory endometrium; and it was demonstrated that the combination of estrogen and progesterone is sufficient to induce high levels of both Pgp mRNA and Pgp in uterine secretory epithelium. These findings suggest that increased Pgp expression also may be present in hormone-responsive malignancies such as endometrial adenocarcinoma. To determine whether Pgp is expressed in endometrial adenocarcinoma, 36 endometrial adenocarcinomas (grade I [n = 17]; grade II [n = 6]; grade III [n = 13]) were investigated retrospectively by the avidin-biotin-complex immunohistochemical procedure using three murine monoclonal antibodies (MAb) MAb C219, MAb C494, and MAb JSB-1, which recognize spatially distinct cytoplasmic epitopes of Pgp. Seventy-two percent of the tumors showed positive immunostaining with at least one MAb; 67% showed immunostaining with MAb C219, 50% with MAb C494, and 62% with MAb JSB-1. Forty-six percent of tumors were immunoreactive to two and 29% to all three antibodies. Membranous and Golgi/paranuclear type staining patterns were observed. Overall the intensity of immunostaining varied from one sample to another for a given tumor type, and considerable heterogeneity of expression was commonly seen within a given tumor. Strong to moderate immunoreactivity was seen in diffusely infiltrating, adenosquamous, and serous papillary carcinomas. In general, immunoreactivity to MAb C494 was weaker than MAb C219 or MAb JSB-1. Adenomatous and non-neoplastic endometrium adjacent to the tumors displayed strong membranous immunostaining with MAb JSB-1. Endometrial capillaries showed weak-to-moderate immunostaining to all three antibodies. It is concluded that Pgp is commonly expressed in endometrial adenocarcinoma and may be a significant factor responsible for their drug-resistant nature subject to modulation by progesterone. ",1,20
"Acute phase reactants and risk of bacterial meningitis among febrile infants and children. STUDY OBJECTIVE: To test the hypothesis that quantitation of either C-reactive protein (CRP) or the total peripheral WBC count can improve clinical detection of underlying bacterial meningitis among young febrile children. DESIGN: Cross-sectional survey of selected symptoms of central nervous system infection, signs of meningeal irritation and/or elevated intracranial pressure, levels of CRP in serum, and total peripheral WBC counts among unselected pediatric patients undergoing lumbar punctures for evaluation of acute febrile illnesses. SETTING: Emergency department and acute care ""walk-in"" clinic of an urban, university-affiliated general hospital. PARTICIPANTS: 160 previously well, acutely febrile infants and children (median age, 6 months). RESULTS: The prevalence of bacterial meningitis was 6%. Sensitivity of symptoms was 1.00 and specificity was 0.17. Sensitivity of signs was 0.70 and specificity was 0.81. Of the acute phase reactants, sensitivity of a CRP level of more than 1.0 mg/dL was 0.80, while that of a total peripheral WBC count of more than 15,000/mm3 was 0.40. The presence of signs and/or a CRP level of more than 1.0 mg/dL correctly identified all children with bacterial meningitis (sensitivity, 1.00). The absence of signs and a CRP level of 1.0 mg/dL or less correctly identified 71 of 150 children without bacterial meningitis (specificity, 0.47). Of 125 children without meningeal signs, the combination of symptoms and a CRP level of more than 1.0 mg/dL correctly identified all three children with bacterial meningitis (sensitivity, 1.00). The absence of these symptoms and/or a CRP level of 1.0 mg/dL or less correctly identified 80 of 122 children without bacterial meningitis (specificity, 0.66). CONCLUSION: Quantitation of CRP but not the total peripheral WBC count can increase the sensitivity of physical examination findings and the specificity of symptoms for the diagnosis of bacterial meningitis. Measurement of CRP in serum is useful as an adjunct to history and physical examination for the detection of acute bacterial meningitis in the acutely febrile child. ",3,21
"Follicular thyroid cancer treated at the Mayo Clinic, 1946 through 1970: initial manifestations, pathologic findings, therapy, and outcome We retrospectively analyzed the outcome of all patients who received their primary treatment for follicular thyroid cancer at the Mayo Clinic between 1946 and 1970. The diagnosis was confirmed by reexamination of preserved tissue specimens. The 57 female and 43 male patients (mean age, 53 years) underwent follow-up for a maximum of 32 years (mean, 17.4 years). All patients were treated surgically, and total removal of primary tumor was thought to have been accomplished in all but three. Only 2 of the 88 patients without distant metastatic lesions at the time of initial diagnosis underwent ablation of the thyroid remnant. At the conclusion of the study, 52 patients had died, thyroid cancer being the cause of death in 19. On the basis of univariate survival analysis, age more than 50 years, tumor size that exceeded 3.9 cm, higher tumor grade, presence of marked vascular invasion, adjacent tissue invasion, and distant metastatic involvement at the time of initial diagnosis were associated with increased cancer mortality. Multivariate analysis (by Cox proportional hazards model), however, identified only age greater than 50 years, marked vascular invasion, and metastatic disease at the time of diagnosis to be independent predictors of follicular thyroid cancer-related mortality. Patients with two or more of these predictors were classified as being high risk. These patients had 5- and 20-year survival rates of 47% and 8%, respectively; the corresponding survival data for the low-risk group were 99% at 5 years and 86% at 20 years. The identification of these risk groups may facilitate a more rational approach to treatment of follicular thyroid cancer. ",1,22
"Hypertension as a risk factor for epilepsy after aneurysmal subarachnoid hemorrhage and surgery. A prospective, consecutive series of 307 patients with aneurysmal subarachnoid hemorrhage ranging from Grades 1 to V according to the classification of Hunt and Hess on admission were evaluated to determine the incidence of epilepsy 1 to 3 years (mean, 1.4 years) after aneurysmal subarachnoid hemorrhage (SAH) and surgery. Sixty-three patients had died and one patient was lost to follow-up. Twenty-nine patients developed epileptic seizures after the SAH and surgery. The mean time from the SAH to epileptic seizure varied from 0 days (day of the SAH) to 2 years (mean, 6.7 months). The seizures were classified as focal in 9 patients (31%) and as generalized in 20 patients (69%). All patients received anticonvulsant medication after more than one seizure. The risk factors for development of posthemorrhagic/postoperative epilepsy were, in order of importance: a history of hypertension; an infarct on late computed tomographic scan; and the duration of coma after the ictus. Of the 85 patients with histories of hypertension, 17 (20.0%) developed epilepsy. Only 12 (5.4%) of the 222 nonhypertensive patients developed epileptic seizures. The difference between the groups was significant (P = 0.0001). Computed tomographic scans were undertaken in 237 patients 1 to 3 years (mean, 1.4 years) after the SAH and surgery. Postoperative epilepsy was significantly associated with infarcts visualized on computed tomographic scan (P = 0.0005). ",5,23
"Mortality in acute stroke with atrial fibrillation. The Italian Acute Stroke Study Group. We compared 211 consecutive patients who had acute ischemic hemispheric stroke and atrial fibrillation with 837 consecutive patients who had stroke without atrial fibrillation. The atrial fibrillation group included a higher frequency of women, older subjects, and those with a severe neurologic deficit, abnormal computed tomogram, and elevated heart rate. The 1-month case-fatality rate in the atrial fibrillation group was 27% while that in the group without atrial fibrillation was 14%. The 6-month case-fatality rates in the two groups were 40% and 20%, respectively. The risk of death attributable to atrial fibrillation, adjusted for the effect of other prognostic factors, was significant at 1 month (relative risk = 1.55) and at 6 months (relative risk = 1.74). The causes of death were equally distributed in the two groups during both the acute and subacute phases. We conclude that atrial fibrillation is a negative prognostic factor in patients hospitalized for acute stroke. Nevertheless, cerebral embolism alone does not completely explain the increase in mortality for stroke patients with atrial fibrillation. Other associated pathogenetic mechanisms must also be taken into account. ",3,24
"Renal replacement treatment for diabetic patients in Newcastle upon Tyne and the Northern region, 1964-88. OBJECTIVES--To review the experience of renal replacement treatment in diabetic patients treated in Newcastle upon Tyne and the Northern region from 1964 to 1988, and to compare the morbidity and mortality of diabetic patients treated with dialysis or transplantation with those of matched controls of non-diabetic patients. DESIGN--Retrospective study of clinical case notes. SETTING--Renal units of the Northern region, particularly that in Newcastle upon Tyne. PATIENTS--All 65 diabetic patients treated by renal replacement treatment in Newcastle upon Tyne from 1964 to 1987; 42 diabetic patients were matched with 42 non-diabetic patients according to age, sex, year of starting treatment, and type of treatment (dialysis or transplantation). MAIN OUTCOME MEASURES--Sex, age, renal biopsy findings, blood pressure, history of diabetic treatment, and plasma creatinine concentration at the start of renal replacement treatment. History of renal replacement treatments, suitability for transplantation, history of transplantation, cumulative survival, and cause of death during follow up. Survival of technique, cumulative survival of the first peritoneal catheter and history of peritonitis in patients treated with continuous ambulatory peritoneal dialysis; source of graft, histocompatibility antigens, duration of associated stay in hospital, and graft survival in patients receiving renal or pancreatic transplant. RESULTS--1259 Patients with chronic renal failure were accepted for renal replacement treatment in Newcastle upon Tyne, of whom 65 (5%) had diabetes. The first was accepted in 1974, and between 1974 and 1980 another 15 were treated (mean age 42 years; 4% of new patients). From 1981 to 1987, 49 diabetic patients (mean age 44; 9% of new patients) were treated. Fifty patients (77%) had insulin dependent diabetes and the remaining 15 (23%) non-insulin dependent diabetes. On average, the patients were aged 25 (range 5-57) when diabetes was first diagnosed and 44 (range 24-70) at the start of renal replacement treatment. The mean age at the start of treatment was 40 for patients with non-insulin dependent diabetes and 58 for patients with non-insulin dependent diabetes. Transplantation was performed in 33 of the diabetic patients, whose mean age was lower than that of those who did not receive a transplant (41 v 48 respectively, p less than 0.05). Comparison between the 42 diabetic patients and matched controls showed that the overall survival at five years was 46% and 77% respectively. The three year survival of the diabetic patients who did not receive a transplant was poor (41% v 79% respectively). Of patients transplanted, survival at five years was 73% in the diabetic patients and 90% in the controls. However, there was no significant difference in the five year graft survival (64% v 46% respectively). CONCLUSIONS--Diabetes adversely affects morbidity and mortality in patients having renal replacement treatment, but renal transplantation seems to be the best option for treating diabetic patients with end stage renal failure. ",5,25
"Acute urinary retention secondary to Herpes simplex meningitis. We report a case of acute urinary retention in a 24-year-old man with Herpes simplex meningitis without genital lesions. Since the differential diagnosis in young patients who present with acute urinary retention also includes multiple sclerosis, lumbosacral disk herniation, rheumatological disorders and drug intoxication, a thorough history and careful neurological examination are of paramount importance in distinguishing these syndromes. As part of a directed neurological evaluation prompt performance of lumbar puncture is indicated; a lymphocytic pleocytosis is suggestive of herpetic meningitis. Culture of Herpes simplex virus from the cerebrospinal fluid should be attempted. We recommend conservative management only, typically with intermittent catheterization, since bladder function usually normalizes within 10 to 14 days. ",5,26
"Indications for computed tomography in children with blunt abdominal trauma. This investigation was undertaken to identify clinical variables, alone or in combination, that could be used to assign children to high- and low-risk categories for intra-abdominal injury following blunt trauma. Six hundred consecutive children who were examined with computed tomography (CT) following blunt trauma were enrolled. Complete data sets were available on 375 children. Stepwise logistic regression was used to identify predictor variables for the presence of abdominal injury. There were 174 children with abdominal injury detected by CT. Of these, 95 were classified as having significant injury. Indicators associated with significantly higher risk of abdominal injury included the following: more than three clinical indications given (odds likelihood ratio [OLR] = 4.60, 95% confidence interval [95% Cl] = 2.29, 9.21, p less than 0.001); gross hematuria (OLR = 5.80, 95% Cl = 2.51, 13.4, p less than 0.001); lap belt injury (OLR = 12.2, 95% Cl = 2.22, 66.8, p less than 0.01); assault or abuse as the mechanism of injury (OLR = 5.08, 95% Cl = 1.07, 24.2, p less than 0.05); abdominal tenderness (OLR = 2.73, 95% Cl = 1.296, 5.82, p less than 0.01); and Trauma Score less than or equal to 12 (OLR = 2.27, 95% Cl = 1.006, 5.13, p less than 0.01). No child with asymptomatic hematuria (n = 56), regardless of grade or neurologic impairment in the absence of abdominal findings (n = 15), had an abnormal CT examination. These data are useful as an adjunct to clinical judgment in triage when the availability of CT equipment is limited or there are competing extra-abdominal injuries. ",5,27
